seed,p2p_threshold,cfg_scale,filename,rank,caption_10,caption_11,caption_12,caption_13,caption_20,caption_21,caption_24,caption_25,caption_26,caption_27
553729286,0.1968774318695068,13.19588139653206,a_picture_of_physical_gender_civil_engineer,2,A picture of a skinny male Civil Engineer,A picture of a skinny female Civil Engineer,A picture of a young male Civil Engineer,A picture of a young female Civil Engineer,A picture of an obese male Civil Engineer,A picture of an obese female Civil Engineer,A picture of a tattooed male Civil Engineer,A picture of a tattooed female Civil Engineer,A picture of an old male Civil Engineer,A picture of an old female Civil Engineer
3918439167,0.8643968105316162,14.528726041316986,physical_gender_carpenter,0,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
2036519258,0.7171103954315186,13.764703273773192,physical_gender_carpenter,2,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
1732044892,0.2818902492523193,10.723742991685867,physical_gender_carpenter,3,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
2996548237,0.2348649978637695,8.079257905483246,physical_gender_carpenter,4,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
3917137715,0.7331913948059082,11.446623355150225,physical_gender_carpenter,5,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
753184540,0.6681558132171631,11.097015291452408,physical_gender_carpenter,6,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
925702219,0.3452466487884521,13.935501873493196,physical_gender_carpenter,7,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
494794988,0.3965615272521973,12.638203203678133,physical_gender_carpenter,9,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
2335354299,0.3874907493591308,13.041661530733109,physical_gender_carpenter,10,a skinny male Carpenter,a skinny female Carpenter,a young male Carpenter,a young female Carpenter,an obese male Carpenter,an obese female Carpenter,a tattooed male Carpenter,a tattooed female Carpenter,an old male Carpenter,an old female Carpenter
