image_path,caption
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/541055_0.jpg,A group of women on the ski slope in their skis.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/269121_1.jpg,A male tennis player with a woman at the court
../../coco-counterfactuals/synthetic-images-for-original-captions/176778_3.jpg,A toilet and a bathtub in a bathroom with a cat next to it
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/504589_0.jpg,Two kids are playing in sand with a frisbee.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/424349_1.jpg,A man is pulling a pizza out of a pizza oven
../../coco-counterfactuals/synthetic-images-for-original-captions/13774_0.jpg,A person standing in shore of beach with a frisbee in the sky.
../../coco-counterfactuals/synthetic-images-for-original-captions/575243_4.jpg,a man that is walking down the street with a umbrella
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/18833_4.jpg,A nat naps with his head on a pillow.
../../coco-counterfactuals/synthetic-images-for-original-captions/425226_0.jpg,A man kneeling down in front of a refrigerator.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/440171_1.jpg,A man riding on the back of a tusked horse by a muddy river
../../coco-counterfactuals/synthetic-images-for-original-captions/460929_2.jpg,A bottle is next to a hotdog on foil.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/143556_2.jpg,Some people riding some very nice looking bikes.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/360097_2.jpg,"Luggage is sorted into bins, and sits outside the fence for pickup."
../../coco-counterfactuals/synthetic-images-for-original-captions/368038_2.jpg,A long train filled with nothing but cabooses.
../../coco-counterfactuals/synthetic-images-for-original-captions/78266_4.jpg,A clean industrial kitchen with no one in it
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/345027_4.jpg,A boat and a motor bike on the beach.
../../coco-counterfactuals/synthetic-images-for-original-captions/79837_2.jpg,A harbor filled with boats under a full moon bathing them in moon light.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/300276_2.jpg,A group of people standing in front of a table filled with cup cakes.
../../coco-counterfactuals/synthetic-images-for-original-captions/480212_2.jpg,"An iphone, pen and soda can on a table."
../../coco-counterfactuals/synthetic-images-for-original-captions/40036_1.jpg,Rider on a horse jumping over a fence
../../coco-counterfactuals/synthetic-images-for-original-captions/256775_4.jpg,Three children fly a kite along the beach.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/57597_1.jpg,young kids playing soccer on a green soccer field
../../coco-counterfactuals/synthetic-images-for-original-captions/207585_4.jpg,A bunch of teddy bears sitting on a stone wall.
../../coco-counterfactuals/synthetic-images-for-counterfactual-captions/177539_0.jpg,A man in striped shorts leaning against a tree on a beach.
../../coco-counterfactuals/synthetic-images-for-original-captions/73533_1.jpg,Two little boys holding cell phones in their hands.
